                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.100/  ct = 0.010/  initial temp = 1.00E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
 3.840E+00   2.102E-01   8.263E-01   1.146E-11   7.377E-18   3.491E-18   1.024E-15   1.210E-25   1.210E-25   1.210E-25   7.891E-24
 3.600E+00   2.073E-01   8.283E-01   1.582E-11   3.177E-17   1.307E-17   3.411E-15   1.207E-25   1.207E-25   1.207E-25   2.616E-23
 3.394E+00   2.050E-01   8.299E-01   2.177E-11   1.325E-16   4.746E-17   1.129E-14   1.205E-25   1.205E-25   1.205E-25   9.474E-23
 3.215E+00   2.030E-01   8.312E-01   2.984E-11   5.359E-16   1.678E-16   3.703E-14   1.203E-25   1.203E-25   1.203E-25   3.264E-22
 3.058E+00   2.013E-01   8.324E-01   4.075E-11   2.109E-15   5.782E-16   1.202E-13   1.201E-25   1.201E-25   1.201E-25   9.594E-22
 2.919E+00   1.998E-01   8.334E-01   5.543E-11   8.087E-15   1.946E-15   3.856E-13   1.200E-25   1.200E-25   1.200E-25   2.199E-21
 2.794E+00   1.985E-01   8.344E-01   7.511E-11   3.023E-14   6.400E-15   1.222E-12   1.199E-25   1.199E-25   1.199E-25   3.918E-21
 2.683E+00   1.973E-01   8.352E-01   1.014E-10   1.103E-13   2.058E-14   3.827E-12   1.197E-25   1.197E-25   1.197E-25   5.775E-21
 2.581E+00   1.962E-01   8.360E-01   1.366E-10   3.930E-13   6.476E-14   1.185E-11   1.196E-25   1.196E-25   1.196E-25   7.519E-21
 2.487E+00   1.952E-01   8.367E-01   1.841E-10   1.368E-12   1.992E-13   3.639E-11   1.195E-25   1.195E-25   1.195E-25   9.058E-21
 2.399E+00   1.942E-01   8.374E-01   2.498E-10   4.657E-12   5.976E-13   1.120E-10   1.194E-25   1.194E-25   1.194E-25   1.039E-20
 2.311E+00   1.932E-01   8.381E-01   3.473E-10   1.542E-11   1.728E-12   3.520E-10   1.193E-25   1.193E-25   1.193E-25   1.156E-20
 2.218E+00   1.921E-01   8.389E-01   5.059E-10   4.620E-11   4.438E-12   1.101E-09   1.192E-25   1.192E-25   1.192E-25   1.254E-20
 2.110E+00   1.907E-01   8.398E-01   8.221E-10   1.190E-10   9.378E-12   3.358E-09   1.191E-25   1.191E-25   1.191E-25   1.323E-20
 1.968E+00   1.887E-01   8.412E-01   1.704E-09   2.911E-10   1.709E-11   1.003E-08   1.189E-25   1.189E-25   1.189E-25   1.322E-20
 1.815E+00   1.864E-01   8.429E-01   4.268E-09   7.370E-10   3.007E-11   2.538E-08   1.186E-25   2.589E-25   1.186E-25   1.271E-20
 1.721E+00   1.847E-01   8.441E-01   8.187E-09   1.406E-09   4.433E-11   4.389E-08   1.185E-25   1.748E-24   1.185E-25   1.248E-20
 1.638E+00   1.830E-01   8.453E-01   1.563E-08   2.647E-09   6.485E-11   7.247E-08   1.183E-25   1.136E-23   1.183E-25   1.235E-20
 1.564E+00   1.813E-01   8.465E-01   2.949E-08   4.907E-09   9.403E-11   1.162E-07   1.897E-25   6.967E-23   1.181E-25   1.227E-20
 1.498E+00   1.797E-01   8.477E-01   5.488E-08   8.941E-09   1.349E-10   1.826E-07   7.819E-25   4.048E-22   1.180E-25   1.220E-20
 1.440E+00   1.780E-01   8.489E-01   1.006E-07   1.599E-08   1.915E-10   2.827E-07   3.117E-24   2.234E-21   1.178E-25   1.213E-20
 1.387E+00   1.764E-01   8.501E-01   1.818E-07   2.805E-08   2.686E-10   4.327E-07   1.180E-23   1.175E-20   1.176E-25   1.207E-20
 1.339E+00   1.747E-01   8.513E-01   3.240E-07   4.828E-08   3.722E-10   6.569E-07   4.234E-23   5.906E-20   2.231E-25   1.201E-20
 1.296E+00   1.731E-01   8.524E-01   5.703E-07   8.147E-08   5.087E-10   9.926E-07   1.437E-22   2.845E-19   6.817E-25   1.197E-20
 1.256E+00   1.715E-01   8.536E-01   9.935E-07   1.346E-07   6.844E-10   1.499E-06   4.615E-22   1.316E-18   2.026E-24   1.193E-20
 1.222E+00   1.699E-01   8.547E-01   1.664E-06   2.114E-07   8.897E-10   2.223E-06   1.327E-21   5.384E-18   5.546E-24   1.190E-20
 1.188E+00   1.683E-01   8.559E-01   2.819E-06   3.278E-07   1.140E-09   3.382E-06   3.808E-21   2.218E-17   1.538E-23   1.188E-20
 1.157E+00   1.667E-01   8.571E-01   4.754E-06   4.911E-07   1.417E-09   5.250E-06   1.067E-20   8.699E-17   4.160E-23   1.187E-20
 1.127E+00   1.651E-01   8.583E-01   8.015E-06   7.072E-07   1.700E-09   8.409E-06   2.978E-20   3.231E-16   1.093E-22   1.196E-20
 1.099E+00   1.635E-01   8.595E-01   1.360E-05   9.802E-07   1.976E-09   1.406E-05   8.497E-20   1.135E-15   2.785E-22   1.252E-20
 1.072E+00   1.617E-01   8.607E-01   2.329E-05   1.324E-06   2.265E-09   2.470E-05   2.517E-19   3.784E-15   6.913E-22   1.558E-20
 1.046E+00   1.600E-01   8.620E-01   3.999E-05   1.789E-06   2.674E-09   4.558E-05   7.732E-19   1.212E-14   1.705E-21   3.125E-20
 1.022E+00   1.582E-01   8.632E-01   6.779E-05   2.473E-06   3.407E-09   8.761E-05   2.420E-18   3.796E-14   4.328E-21   1.077E-19
 9.996E-01   1.565E-01   8.643E-01   1.122E-04   3.506E-06   4.816E-09   1.736E-04   7.599E-18   1.179E-13   1.172E-20   4.658E-19
 9.796E-01   1.548E-01   8.654E-01   1.809E-04   5.059E-06   7.598E-09   3.515E-04   2.374E-17   3.654E-13   3.476E-20   2.080E-18
 9.614E-01   1.530E-01   8.662E-01   2.844E-04   7.344E-06   1.321E-08   7.186E-04   7.314E-17   1.121E-12   1.133E-19   8.995E-18
 9.452E-01   1.512E-01   8.668E-01   4.304E-04   1.050E-05   2.410E-08   1.433E-03   2.125E-16   3.251E-12   3.823E-19   3.521E-17
 9.302E-01   1.490E-01   8.669E-01   6.378E-04   1.491E-05   4.575E-08   2.831E-03   6.021E-16   9.186E-12   1.348E-18   1.297E-16
 9.162E-01   1.462E-01   8.662E-01   9.251E-04   2.089E-05   8.815E-08   5.510E-03   1.656E-15   2.509E-11   4.829E-18   4.458E-16
 9.028E-01   1.421E-01   8.643E-01   1.314E-03   2.884E-05   1.700E-07   1.056E-02   4.443E-15   6.625E-11   1.735E-17   1.429E-15
 8.899E-01   1.358E-01   8.601E-01   1.818E-03   3.891E-05   3.226E-07   1.982E-02   1.157E-14   1.671E-10   6.142E-17   4.201E-15
 8.775E-01   1.264E-01   8.528E-01   2.395E-03   5.013E-05   5.784E-07   3.518E-02   2.796E-14   3.819E-10   2.009E-16   1.061E-14
 8.642E-01   1.110E-01   8.400E-01   3.028E-03   6.195E-05   1.017E-06   6.154E-02   6.744E-14   8.324E-10   6.735E-16   2.400E-14
 8.495E-01   8.791E-02   8.204E-01   3.526E-03   7.041E-05   1.688E-06   1.015E-01   1.550E-13   1.603E-09   2.229E-15   4.308E-14
 8.323E-01   5.766E-02   7.956E-01   3.608E-03   7.008E-05   2.606E-06   1.526E-01   3.316E-13   2.535E-09   7.507E-15   5.288E-14
 8.133E-01   2.974E-02   7.737E-01   3.112E-03   5.862E-05   3.630E-06   1.984E-01   5.958E-13   2.970E-09   2.465E-14   3.792E-14
 7.944E-01   1.281E-02   7.609E-01   2.336E-03   4.265E-05   4.583E-06   2.257E-01   8.186E-13   2.642E-09   7.568E-14   1.738E-14
 7.767E-01   5.102E-03   7.551E-01   1.636E-03   2.894E-05   5.436E-06   2.385E-01   8.469E-13   2.007E-09   2.170E-13   6.623E-15
 7.606E-01   2.032E-03   7.529E-01   1.129E-03   1.935E-05   6.240E-06   2.438E-01   7.101E-13   1.433E-09   5.805E-13   2.761E-15
 7.457E-01   8.336E-04   7.520E-01   7.882E-04   1.304E-05   7.058E-06   2.461E-01   5.363E-13   1.010E-09   1.461E-12   1.506E-15
 7.313E-01   3.470E-04   7.517E-01   5.578E-04   8.840E-06   7.938E-06   2.472E-01   3.886E-13   7.102E-10   3.550E-12   1.087E-15
 7.163E-01   1.414E-04   7.515E-01   3.965E-04   5.920E-06   8.892E-06   2.478E-01   2.758E-13   4.930E-10   8.574E-12   9.506E-16
 6.992E-01   5.392E-05   7.514E-01   2.791E-04   3.820E-06   9.849E-06   2.481E-01   1.912E-13   3.314E-10   2.105E-11   9.749E-16
 6.788E-01   1.948E-05   7.514E-01   1.951E-04   2.374E-06   1.055E-05   2.483E-01   1.304E-13   2.161E-10   5.029E-11   1.260E-15
 6.532E-01   7.044E-06   7.514E-01   1.362E-04   1.449E-06   1.074E-05   2.484E-01   8.817E-14   1.394E-10   1.095E-10   2.106E-15
 6.171E-01   2.553E-06   7.514E-01   9.311E-05   8.614E-07   1.034E-05   2.484E-01   5.768E-14   8.891E-11   2.128E-10   3.938E-15
 5.649E-01   9.553E-07   7.514E-01   6.330E-05   5.059E-07   9.664E-06   2.485E-01   3.703E-14   5.714E-11   3.444E-10   6.313E-15
 5.117E-01   4.572E-07   7.514E-01   4.810E-05   3.374E-07   9.247E-06   2.485E-01   2.670E-14   4.148E-11   4.335E-10   7.322E-15
 4.634E-01   2.644E-07   7.514E-01   4.003E-05   2.506E-07   9.082E-06   2.485E-01   2.127E-14   3.342E-11   4.802E-10   7.220E-15
 4.198E-01   1.707E-07   7.514E-01   3.523E-05   1.991E-07   9.057E-06   2.485E-01   1.802E-14   2.886E-11   5.014E-10   6.670E-15
 3.808E-01   1.189E-07   7.514E-01   3.220E-05   1.663E-07   9.107E-06   2.485E-01   1.594E-14   2.627E-11   5.083E-10   5.982E-15
 3.475E-01   8.812E-08   7.514E-01   3.027E-05   1.447E-07   9.188E-06   2.485E-01   1.458E-14   2.490E-11   5.081E-10   5.291E-15
 3.162E-01   6.651E-08   7.514E-01   2.888E-05   1.286E-07   9.286E-06   2.485E-01   1.357E-14   2.422E-11   5.048E-10   4.573E-15
 2.864E-01   5.039E-08   7.514E-01   2.785E-05   1.160E-07   9.393E-06   2.485E-01   1.281E-14   2.409E-11   5.001E-10   3.836E-15
 2.594E-01   3.854E-08   7.514E-01   2.712E-05   1.066E-07   9.495E-06   2.485E-01   1.227E-14   2.437E-11   4.954E-10   3.149E-15
 2.350E-01   2.954E-08   7.514E-01   2.660E-05   9.952E-08   9.586E-06   2.485E-01   1.188E-14   2.491E-11   4.913E-10   2.547E-15
 2.128E-01   2.256E-08   7.514E-01   2.623E-05   9.406E-08   9.666E-06   2.485E-01   1.161E-14   2.558E-11   4.880E-10   2.062E-15
 1.928E-01   1.707E-08   7.514E-01   2.596E-05   8.984E-08   9.733E-06   2.485E-01   1.144E-14   2.629E-11   4.854E-10   1.708E-15
 1.746E-01   1.274E-08   7.514E-01   2.577E-05   8.657E-08   9.788E-06   2.485E-01   1.135E-14   2.696E-11   4.835E-10   1.480E-15
 1.581E-01   9.340E-09   7.514E-01   2.563E-05   8.404E-08   9.832E-06   2.485E-01   1.133E-14   2.753E-11   4.822E-10   1.351E-15
 1.445E-01   6.911E-09   7.514E-01   2.553E-05   8.223E-08   9.863E-06   2.485E-01   1.135E-14   2.796E-11   4.813E-10   1.291E-15
 1.336E-01   5.226E-09   7.514E-01   2.547E-05   8.097E-08   9.886E-06   2.485E-01   1.139E-14   2.825E-11   4.808E-10   1.263E-15
 1.246E-01   4.014E-09   7.514E-01   2.542E-05   8.005E-08   9.902E-06   2.485E-01   1.143E-14   2.845E-11   4.804E-10   1.251E-15
 1.169E-01   3.110E-09   7.514E-01   2.539E-05   7.936E-08   9.914E-06   2.485E-01   1.148E-14   2.860E-11   4.802E-10   1.244E-15
 1.098E-01   2.401E-09   7.514E-01   2.536E-05   7.880E-08   9.924E-06   2.485E-01   1.153E-14   2.871E-11   4.800E-10   1.241E-15
 1.024E-01   1.769E-09   7.514E-01   2.534E-05   7.830E-08   9.933E-06   2.485E-01   1.158E-14   2.880E-11   4.799E-10   1.239E-15
 9.510E-02   1.259E-09   7.514E-01   2.532E-05   7.788E-08   9.941E-06   2.485E-01   1.163E-14   2.887E-11   4.798E-10   1.237E-15
 8.902E-02   9.160E-10   7.514E-01   2.531E-05   7.760E-08   9.946E-06   2.485E-01   1.167E-14   2.891E-11   4.797E-10   1.237E-15
 8.385E-02   6.792E-10   7.514E-01   2.530E-05   7.740E-08   9.951E-06   2.485E-01   1.170E-14   2.894E-11   4.797E-10   1.237E-15
 7.938E-02   5.116E-10   7.514E-01   2.529E-05   7.725E-08   9.954E-06   2.485E-01   1.172E-14   2.896E-11   4.797E-10   1.236E-15
 7.545E-02   3.907E-10   7.514E-01   2.528E-05   7.715E-08   9.956E-06   2.485E-01   1.174E-14   2.897E-11   4.797E-10   1.236E-15
 7.196E-02   3.018E-10   7.514E-01   2.528E-05   7.707E-08   9.958E-06   2.485E-01   1.176E-14   2.898E-11   4.797E-10   1.236E-15
 6.882E-02   2.356E-10   7.514E-01   2.527E-05   7.701E-08   9.959E-06   2.485E-01   1.177E-14   2.899E-11   4.796E-10   1.236E-15
 6.598E-02   1.855E-10   7.514E-01   2.527E-05   7.697E-08   9.961E-06   2.485E-01   1.177E-14   2.899E-11   4.796E-10   1.236E-15
 6.326E-02   1.455E-10   7.514E-01   2.527E-05   7.694E-08   9.962E-06   2.485E-01   1.178E-14   2.900E-11   4.796E-10   1.236E-15
 5.737E-02   8.133E-11   7.514E-01   2.526E-05   7.689E-08   9.963E-06   2.485E-01   1.179E-14   2.900E-11   4.796E-10   1.236E-15
 5.196E-02   4.430E-11   7.514E-01   2.526E-05   7.687E-08   9.965E-06   2.485E-01   1.180E-14   2.901E-11   4.796E-10   1.236E-15
 4.706E-02   2.367E-11   7.514E-01   2.526E-05   7.687E-08   9.966E-06   2.485E-01   1.180E-14   2.901E-11   4.796E-10   1.236E-15
 4.263E-02   1.243E-11   7.514E-01   2.526E-05   7.687E-08   9.966E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 3.861E-02   6.411E-12   7.514E-01   2.526E-05   7.687E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 3.497E-02   3.254E-12   7.514E-01   2.526E-05   7.687E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 3.167E-02   1.625E-12   7.514E-01   2.526E-05   7.687E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 2.869E-02   7.991E-13   7.514E-01   2.526E-05   7.687E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 2.598E-02   3.867E-13   7.514E-01   2.526E-05   7.687E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 2.353E-02   1.842E-13   7.514E-01   2.526E-05   7.687E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 2.132E-02   8.638E-14   7.514E-01   2.526E-05   7.686E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.931E-02   3.985E-14   7.514E-01   2.526E-05   7.685E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.749E-02   1.809E-14   7.514E-01   2.526E-05   7.683E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.584E-02   8.073E-15   7.514E-01   2.526E-05   7.682E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.435E-02   3.542E-15   7.514E-01   2.526E-05   7.679E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.299E-02   1.527E-15   7.514E-01   2.526E-05   7.677E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.177E-02   6.465E-16   7.514E-01   2.526E-05   7.674E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 1.066E-02   2.687E-16   7.514E-01   2.526E-05   7.670E-08   9.967E-06   2.485E-01   1.181E-14   2.901E-11   4.796E-10   1.236E-15
 9.946E-03   1.436E-16   7.514E-01   2.526E-05   7.667E-08   1.004E-05   2.485E-01   1.181E-14   5.086E-10   4.796E-10   1.236E-15
 
    Temp         T          rhog        rhoe       rhone        rhob        phie         dt         eta          H
------------------------------------------------------------------------------------------------------------------------------------
 1.000E+02   1.082E-02   8.418E+08   1.474E+09   2.210E+09   5.771E+01   6.605E-10   1.000E-04   1.713E-09   5.030E+01
 9.439E+01   1.203E-02   6.681E+08   1.169E+09   1.754E+09   4.852E+01   6.633E-10   2.188E-04   1.713E-09   4.481E+01
 8.549E+01   1.448E-02   4.496E+08   7.870E+08   1.180E+09   3.605E+01   6.685E-10   2.668E-04   1.713E-09   3.676E+01
 7.743E+01   1.746E-02   3.026E+08   5.296E+08   7.942E+08   2.679E+01   6.742E-10   3.252E-04   1.713E-09   3.015E+01
 7.013E+01   2.109E-02   2.036E+08   3.564E+08   5.344E+08   1.990E+01   6.805E-10   3.965E-04   1.713E-09   2.474E+01
 6.352E+01   2.552E-02   1.371E+08   2.398E+08   3.596E+08   1.479E+01   6.875E-10   4.834E-04   1.713E-09   2.029E+01
 5.753E+01   3.092E-02   9.224E+07   1.614E+08   2.420E+08   1.098E+01   6.952E-10   5.893E-04   1.712E-09   1.664E+01
 5.211E+01   3.750E-02   6.208E+07   1.086E+08   1.628E+08   8.161E+00   7.036E-10   7.185E-04   1.712E-09   1.365E+01
 4.720E+01   4.553E-02   4.178E+07   7.307E+07   1.095E+08   6.063E+00   7.128E-10   8.760E-04   1.712E-09   1.120E+01
 4.275E+01   5.531E-02   2.812E+07   4.916E+07   7.370E+07   4.504E+00   7.230E-10   1.068E-03   1.711E-09   9.187E+00
 3.872E+01   6.724E-02   1.892E+07   3.307E+07   4.958E+07   3.345E+00   7.341E-10   1.302E-03   1.711E-09   7.536E+00
 3.507E+01   8.179E-02   1.273E+07   2.225E+07   3.335E+07   2.485E+00   7.462E-10   1.588E-03   1.710E-09   6.181E+00
 3.177E+01   9.953E-02   8.570E+06   1.497E+07   2.243E+07   1.846E+00   7.593E-10   1.937E-03   1.709E-09   5.069E+00
 2.877E+01   1.212E-01   5.768E+06   1.007E+07   1.509E+07   1.371E+00   7.735E-10   2.363E-03   1.709E-09   4.158E+00
 2.606E+01   1.476E-01   3.882E+06   6.771E+06   1.014E+07   1.018E+00   7.888E-10   2.882E-03   1.707E-09   3.410E+00
