Temp,N/H,P,D/H,T/H,He3/H,He4,Li6/H,Li7/H,Be7/H,Li8/H&up,T,rhog,rhoe,rhone,rhob,phie,dt,eta,H
0.06882,2.356e-10,0.7514,2.527e-05,7.701e-08,9.959e-06,0.2485,1.177e-14,2.899e-11,4.796e-10,1.236e-15,37540.0,0.0001888,0.0,0.0001286,6.839e-09,17.09,324.5,6.229e-10,1.332e-05
0.06598,1.855e-10,0.7514,2.527e-05,7.697e-08,9.961e-06,0.2485,1.177e-14,2.899e-11,4.796e-10,1.236e-15,40840.0,0.0001595,0.0,0.0001087,6.026e-09,17.09,335.0,6.229e-10,1.224e-05
0.06326,1.455e-10,0.7514,2.527e-05,7.694e-08,9.962e-06,0.2485,1.178e-14,2.9e-11,4.796e-10,1.236e-15,44420.0,0.0001348,0.0,9.185e-05,5.312e-09,17.09,517.5,6.229e-10,1.126e-05
0.05737,8.133e-11,0.7514,2.526e-05,7.689e-08,9.963e-06,0.2485,1.179e-14,2.9e-11,4.796e-10,1.236e-15,54020.0,9.119e-05,0.0,6.212e-05,3.962e-09,17.09,1059.0,6.229e-10,9.258e-06
0.05196,4.43e-11,0.7514,2.526e-05,7.687e-08,9.965e-06,0.2485,1.18e-14,2.901e-11,4.796e-10,1.236e-15,65840.0,6.137e-05,0.0,4.181e-05,2.944e-09,17.09,1291.0,6.229e-10,7.595e-06
0.04706,2.367e-11,0.7514,2.526e-05,7.687e-08,9.966e-06,0.2485,1.18e-14,2.901e-11,4.796e-10,1.236e-15,80260.0,4.13e-05,0.0,2.814e-05,2.187e-09,17.09,1574.0,6.229e-10,6.23e-06
0.04263,1.243e-11,0.7514,2.526e-05,7.687e-08,9.966e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,97840.0,2.78e-05,0.0,1.894e-05,1.625e-09,17.09,1918.0,6.229e-10,5.111e-06
0.03861,6.411e-12,0.7514,2.526e-05,7.687e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,119300.0,1.871e-05,0.0,1.274e-05,1.208e-09,17.09,2338.0,6.229e-10,4.193e-06
0.03497,3.254e-12,0.7514,2.526e-05,7.687e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,145400.0,1.259e-05,0.0,8.576e-06,8.973e-10,17.09,2850.0,6.229e-10,3.44e-06
0.03167,1.625e-12,0.7514,2.526e-05,7.687e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,177200.0,8.473e-06,0.0,5.772e-06,6.667e-10,17.09,3474.0,6.229e-10,2.822e-06
0.02869,7.991e-13,0.7514,2.526e-05,7.687e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,216000.0,5.702e-06,0.0,3.884e-06,4.954e-10,17.09,4235.0,6.229e-10,2.315e-06
0.02598,3.867e-13,0.7514,2.526e-05,7.687e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,263300.0,3.837e-06,0.0,2.614e-06,3.681e-10,17.09,5162.0,6.229e-10,1.899e-06
0.02353,1.842e-13,0.7514,2.526e-05,7.687e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,321000.0,2.583e-06,0.0,1.759e-06,2.735e-10,17.09,6293.0,6.229e-10,1.558e-06
0.02132,8.638e-14,0.7514,2.526e-05,7.686e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,391200.0,1.738e-06,0.0,1.184e-06,2.032e-10,17.09,7670.0,6.229e-10,1.278e-06
0.01931,3.985e-14,0.7514,2.526e-05,7.685e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,476900.0,1.17e-06,0.0,7.968e-07,1.51e-10,17.09,9350.0,6.229e-10,1.049e-06
0.01749,1.809e-14,0.7514,2.526e-05,7.683e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,581300.0,7.872e-07,0.0,5.363e-07,1.122e-10,17.09,11400.0,6.229e-10,8.602e-07
0.01584,8.073e-15,0.7514,2.526e-05,7.682e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,708600.0,5.298e-07,0.0,3.609e-07,8.337e-11,17.09,13890.0,6.229e-10,7.057e-07
0.01435,3.542e-15,0.7514,2.526e-05,7.679e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,863800.0,3.565e-07,0.0,2.429e-07,6.195e-11,17.09,16940.0,6.229e-10,5.789e-07
0.01299,1.527e-15,0.7514,2.526e-05,7.677e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,1053000.0,2.4e-07,0.0,1.635e-07,4.603e-11,17.09,20640.0,6.229e-10,4.749e-07
0.01177,6.465e-16,0.7514,2.526e-05,7.674e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,1283000.0,1.615e-07,0.0,1.1e-07,3.42e-11,17.09,25160.0,6.229e-10,3.896e-07
0.01066,2.687e-16,0.7514,2.526e-05,7.67e-08,9.967e-06,0.2485,1.181e-14,2.901e-11,4.796e-10,1.236e-15,1565000.0,1.087e-07,0.0,7.404e-08,2.541e-11,17.09,30670.0,6.229e-10,3.196e-07
0.009946,1.436e-16,0.7514,2.526e-05,7.667e-08,1.004e-05,0.2485,1.181e-14,5.086e-10,4.796e-10,1.236e-15,1797000.0,8.237e-08,0.0,5.611e-08,2.064e-11,17.09,35230.0,6.229e-10,2.783e-07
